type,vertex_count,k,eigenvector_fp,eigenvector_energy,half_fp,half_energy
BA,50,3,4,0.0963265306122449,8,0.08163265306122448
BA,50,5,0,0.15020408163265306,25,0.11918367346938775
BA,50,7,2,0.18612244897959185,3,0.2057142857142857
BA,100,3,0,0.06101010101010101,6,0.06262626262626263
BA,100,5,0,0.10020202020202021,0,0.10505050505050505
BA,100,7,1,0.13575757575757577,5,0.1406060606060606
BA,150,3,3,0.04456375838926174,0,0.046353467561521255
BA,150,5,1,0.0774944071588367,0,0.07838926174496644
BA,150,7,0,0.10362416107382551,2,0.10845637583892617
BA,50,3,2,0.0946938775510204,6,0.09795918367346938
BA,50,5,2,0.15346938775510205,5,0.15020408163265306
BA,50,7,3,0.1893877551020408,7,0.19755102040816327
BA,100,3,1,0.052121212121212124,0,0.057373737373737375
BA,100,5,1,0.09858585858585858,1,0.10222222222222223
BA,100,7,0,0.13494949494949496,4,0.1393939393939394
BA,150,3,2,0.042058165548098436,0,0.04671140939597315
BA,150,5,1,0.07463087248322148,2,0.07624161073825503
BA,150,7,2,0.105413870246085,2,0.10917225950782998
BA,50,3,0,0.08979591836734693,3,0.08979591836734693
BA,50,5,0,0.15346938775510205,4,0.16
BA,50,7,2,0.20408163265306123,5,0.19755102040816327
BA,100,3,0,0.057373737373737375,1,0.061414141414141414
BA,100,5,0,0.09656565656565656,0,0.10181818181818182
BA,100,7,1,0.138989898989899,2,0.14707070707070707
BA,150,3,1,0.042953020134228186,2,0.04671140939597315
BA,150,5,2,0.07624161073825503,3,0.0785682326621924
BA,150,7,2,0.1032662192393736,1,0.10774049217002236
BA,50,3,3,0.09142857142857143,5,0.08326530612244898
BA,50,5,0,0.16326530612244897,2,0.15836734693877552
BA,50,7,2,0.2057142857142857,2,0.2089795918367347
BA,100,3,0,0.0597979797979798,2,0.06262626262626263
BA,100,5,0,0.09414141414141414,0,0.10020202020202021
BA,100,7,2,0.13414141414141414,3,0.1414141414141414
BA,150,3,0,0.04098434004474273,5,0.042953020134228186
BA,150,5,0,0.07373601789709172,6,0.07695749440715884
BA,150,7,1,0.105413870246085,1,0.11024608501118568
BA,50,3,16,0.07020408163265306,0,0.09306122448979592
BA,50,5,9,0.14530612244897959,3,0.156734693877551
BA,50,7,2,0.18612244897959185,5,0.1926530612244898
BA,100,3,4,0.05818181818181818,14,0.05858585858585859
BA,100,5,1,0.10262626262626262,6,0.10262626262626262
BA,100,7,0,0.1393939393939394,7,0.14222222222222222
BA,150,3,0,0.041521252796420584,0,0.04313199105145414
BA,150,5,0,0.0774944071588367,8,0.07838926174496644
BA,150,7,0,0.10505592841163311,2,0.10523489932885906
BA,50,3,1,0.0963265306122449,3,0.08816326530612245
BA,50,5,1,0.13714285714285715,2,0.15510204081632653
BA,50,7,4,0.17142857142857143,1,0.18285714285714286
BA,100,3,8,0.05171717171717172,2,0.059393939393939395
BA,100,5,1,0.10181818181818182,3,0.10545454545454545
BA,100,7,1,0.1397979797979798,2,0.14666666666666667
BA,150,3,0,0.041521252796420584,1,0.04402684563758389
BA,150,5,0,0.07409395973154362,1,0.07659955257270694
BA,150,7,0,0.10416107382550335,3,0.10487695749440716
BA,50,3,4,0.08653061224489796,4,0.09306122448979592
BA,50,5,2,0.1469387755102041,3,0.14857142857142858
BA,50,7,1,0.2073469387755102,3,0.20244897959183675
BA,100,3,3,0.06181818181818182,6,0.0597979797979798
BA,100,5,0,0.10181818181818182,3,0.10626262626262627
BA,100,7,2,0.1385858585858586,5,0.141010101010101
BA,150,3,0,0.04098434004474273,1,0.04527964205816555
BA,150,5,0,0.07498881431767337,5,0.07606263982102908
BA,150,7,2,0.10648769574944071,2,0.11060402684563758
BA,50,3,1,0.08489795918367347,3,0.08489795918367347
BA,50,5,1,0.15346938775510205,17,0.13551020408163264
BA,50,7,1,0.19755102040816327,2,0.2089795918367347
BA,100,3,1,0.0597979797979798,5,0.05898989898989899
BA,100,5,0,0.1006060606060606,1,0.1098989898989899
BA,100,7,4,0.13777777777777778,2,0.1393939393939394
BA,150,3,3,0.03955257270693512,1,0.04778523489932886
BA,150,5,0,0.07534675615212529,0,0.07910514541387025
BA,150,7,0,0.10756152125279642,9,0.11185682326621924
BA,50,3,6,0.09306122448979592,2,0.0946938775510204
BA,50,5,0,0.16326530612244897,2,0.15346938775510205
BA,50,7,3,0.2073469387755102,4,0.20244897959183675
BA,100,3,1,0.055353535353535356,1,0.05898989898989899
BA,100,5,4,0.09858585858585858,5,0.10505050505050505
BA,100,7,1,0.13737373737373737,5,0.138989898989899
