type,vertex_count,block_count,eigenvector_fp,eigenvector_energy,half_fp,half_energy
SBM,150,2,1,0.26093959731543626,5,0.26272930648769577
SBM,150,3,3,0.22389261744966443,4,0.22317673378076064
SBM,150,5,0,0.21225950782997763,5,0.20438478747203578
SBM,50,2,0,0.19591836734693877,0,0.23183673469387756
SBM,50,3,1,0.1879432624113475,1,0.18439716312056736
SBM,50,5,1,0.17142857142857143,4,0.16653061224489796
SBM,100,2,3,0.24161616161616162,8,0.2404040404040404
SBM,100,3,0,0.24036281179138322,11,0.2077922077922078
SBM,100,5,0,0.1890909090909091,2,0.18828282828282827
SBM,150,2,0,0.261834451901566,10,0.2636241610738255
SBM,150,3,1,0.22747203579418346,6,0.21834451901565996
SBM,150,5,0,0.2086800894854586,4,0.21154362416107383
SBM,50,2,1,0.2236734693877551,0,0.21877551020408162
SBM,50,3,3,0.1950354609929078,0,0.20567375886524822
SBM,50,5,2,0.16163265306122448,0,0.16163265306122448
SBM,100,2,3,0.2387878787878788,7,0.23717171717171717
SBM,100,3,0,0.2168625025767883,0,0.2300556586270872
SBM,100,5,0,0.20202020202020202,1,0.20040404040404042
SBM,150,2,0,0.2629082774049217,1,0.2677404921700224
SBM,150,3,0,0.2319463087248322,0,0.2265771812080537
SBM,150,5,1,0.21440715883668904,0,0.2156599552572707
SBM,50,2,9,0.20081632653061224,4,0.21877551020408162
SBM,50,3,1,0.20212765957446807,1,0.2074468085106383
SBM,50,5,0,0.16816326530612244,0,0.16653061224489796
SBM,100,2,0,0.24484848484848484,0,0.23797979797979799
SBM,100,3,0,0.23252937538651824,0,0.20655534941249226
SBM,100,5,1,0.19717171717171716,0,0.19595959595959597
SBM,150,2,1,0.2589709172259508,4,0.2587919463087248
SBM,150,3,4,0.2203131991051454,1,0.22281879194630871
SBM,150,5,2,0.20492170022371364,1,0.20850111856823267
SBM,50,2,1,0.21387755102040817,1,0.22040816326530613
SBM,50,3,19,0.18262411347517732,0,0.18439716312056736
SBM,50,5,1,0.156734693877551,0,0.16816326530612244
SBM,100,2,2,0.24202020202020202,0,0.24363636363636362
SBM,100,3,0,0.20531849103277675,1,0.23541537827252113
SBM,100,5,1,0.21414141414141413,0,0.20929292929292928
SBM,150,2,0,0.26559284116331094,0,0.25861297539149886
SBM,150,3,0,0.22389261744966443,0,0.22514541387024609
SBM,150,5,0,0.22192393736017896,1,0.21315436241610738
SBM,50,2,25,0.16163265306122448,0,0.23346938775510204
SBM,50,3,14,0.1595744680851064,2,0.18617021276595744
SBM,50,5,1,0.15510204081632653,4,0.1469387755102041
SBM,100,2,10,0.24525252525252525,0,0.24484848484848484
SBM,100,3,2,0.21356421356421357,0,0.21397649969078542
SBM,100,5,2,0.19717171717171716,2,0.19797979797979798
SBM,150,2,0,0.2650559284116331,0,0.26380313199105143
SBM,150,3,0,0.26416107382550336,0,0.22604026845637584
SBM,150,5,1,0.218165548098434,0,0.21691275167785234
SBM,50,2,17,0.16816326530612244,25,0.13877551020408163
SBM,50,3,24,0.12943262411347517,0,0.18262411347517732
SBM,50,5,0,0.16653061224489796,1,0.16653061224489796
SBM,100,2,2,0.22666666666666666,0,0.23232323232323232
SBM,100,3,1,0.23252937538651824,0,0.23582766439909297
SBM,100,5,1,0.2105050505050505,2,0.2088888888888889
SBM,150,2,0,0.27060402684563756,7,0.2621923937360179
SBM,150,3,1,0.22675615212527964,1,0.26380313199105143
SBM,150,5,1,0.2156599552572707,0,0.21637583892617449
SBM,50,2,9,0.20408163265306123,2,0.24979591836734694
SBM,50,3,4,0.21453900709219859,2,0.21453900709219859
SBM,50,5,1,0.15346938775510205,0,0.156734693877551
SBM,100,2,0,0.2505050505050505,0,0.24686868686868688
SBM,100,3,2,0.209853638425067,0,0.21273964131106987
SBM,100,5,0,0.2008080808080808,0,0.19595959595959597
SBM,150,2,1,0.2646979865771812,3,0.2621923937360179
