type,vertex_count,edge_density,new_fp,new_energy,half_fp,half_energy,zero_fp,zero_energy
ER,20,0.5,0,0.24210526315789474,0,0.22105263157894736,0,0.23157894736842105
ER,50,0.1,1,0.08326530612244898,0,0.08326530612244898,0,0.08
ER,50,0.2,2,0.1893877551020408,1,0.18448979591836734,0,0.17959183673469387
ER,50,0.3,1,0.24653061224489795,0,0.25795918367346937,0,0.24979591836734694
ER,50,0.4,4,0.2889795918367347,0,0.28244897959183674,0,0.30857142857142855
ER,50,0.5,0,0.31673469387755104,3,0.32816326530612244,0,0.31020408163265306
ER,100,0.1,0,0.11434343434343434,1,0.11272727272727273,0,0.11474747474747475
ER,100,0.2,2,0.21535353535353535,2,0.21616161616161617,0,0.21737373737373739
ER,100,0.3,1,0.3103030303030303,0,0.3094949494949495,0,0.3115151515151515
ER,100,0.4,0,0.3373737373737374,3,0.343030303030303,0,0.343030303030303
ER,100,0.5,1,0.3575757575757576,0,0.36363636363636365,0,0.362020202020202
ER,20,0.1,13,0.0,4,0.010526315789473684,0,0.031578947368421054
ER,20,0.2,1,0.08421052631578947,2,0.09473684210526316,0,0.08421052631578947
ER,20,0.3,5,0.21052631578947367,2,0.18947368421052632,0,0.2
ER,20,0.4,2,0.22105263157894736,2,0.18947368421052632,0,0.21052631578947367
ER,20,0.5,0,0.22105263157894736,1,0.2631578947368421,0,0.2736842105263158
ER,50,0.1,0,0.08326530612244898,0,0.08326530612244898,0,0.08163265306122448
ER,50,0.2,2,0.1926530612244898,4,0.18122448979591838,0,0.19428571428571428
ER,50,0.3,0,0.2416326530612245,3,0.2383673469387755,0,0.23020408163265307
ER,50,0.4,0,0.2922448979591837,2,0.29714285714285715,0,0.2889795918367347
ER,50,0.5,1,0.3053061224489796,0,0.3004081632653061,0,0.3183673469387755
ER,100,0.1,2,0.11717171717171718,1,0.1204040404040404,0,0.11636363636363636
ER,100,0.2,2,0.21696969696969698,2,0.22141414141414142,0,0.22343434343434343
ER,100,0.3,1,0.2997979797979798,1,0.30747474747474746,0,0.3018181818181818
ER,100,0.4,1,0.3482828282828283,4,0.3490909090909091,0,0.3466666666666667
ER,100,0.5,2,0.3604040404040404,4,0.35353535353535354,0,0.36484848484848487
ER,20,0.1,1,0.05263157894736842,2,0.042105263157894736,0,0.042105263157894736
