type,vertex_count,k,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp,pagerank_energy,betweenness_fp,betweenness_energy,clustering_fp,clustering_energy,degree_fp,degree_energy
BA,150,5,2,0.07589045999642026,0,0.07302013422818791,0,0.07248322147651007,0,0.07355704697986577,3,0.07644110275689223,6,0.07275985663082438
BA,150,7,7,0.10740541509772279,0,0.10129753914988815,3,0.10329394915861081,1,0.1029082774049217,5,0.1051500223914017,1,0.10577181208053692
BA,50,3,4,0.0951599671862182,3,0.088379705400982,0,0.09795918367346938,1,0.09142857142857143,6,0.09752066115702479,2,0.09640522875816994
BA,50,5,2,0.16013071895424835,4,0.14273995077932733,1,0.1469387755102041,1,0.15183673469387754,4,0.15586546349466776,1,0.156734693877551
BA,50,7,0,0.20244897959183675,8,0.21052631578947367,1,0.20244897959183675,3,0.20621931260229132,8,0.2121971595655806,1,0.2089795918367347
BA,100,3,2,0.061022428773489595,0,0.061414141414141414,0,0.055757575757575756,0,0.0602020202020202,5,0.058299595141700404,0,0.05898989898989899
BA,100,5,23,0.09793485203321269,2,0.10022226712467165,2,0.10183875530410184,1,0.09737373737373738,6,0.10658561296859169,2,0.10062638916952919
BA,100,7,1,0.14222222222222222,1,0.14383838383838385,0,0.1402020202020202,1,0.1414141414141414,2,0.14427157001414428,7,0.13674173260296207
BA,150,3,0,0.04563758389261745,0,0.042237136465324385,1,0.03955257270693512,2,0.042061929479148025,3,0.045112781954887216,1,0.042237136465324385
BA,150,5,3,0.07679914070891515,1,0.07480984340044743,2,0.07374261678897441,0,0.07427293064876958,2,0.07732235546805083,1,0.07480984340044743
BA,150,7,0,0.10970917225950783,0,0.10720357941834452,0,0.10756152125279642,2,0.10810810810810811,3,0.11260293591120658,0,0.10845637583892617
BA,50,3,1,0.0946938775510204,1,0.0963265306122449,1,0.0963265306122449,2,0.0915032679738562,1,0.09142857142857143,2,0.09640522875816994
BA,50,5,3,0.16039279869067102,3,0.16530278232405893,1,0.16653061224489796,3,0.16530278232405893,0,0.16979591836734695,0,0.16979591836734695
BA,50,7,9,0.1900756938603869,0,0.1926530612244898,0,0.19918367346938776,6,0.18512396694214875,3,0.18330605564648117,2,0.19607843137254902
BA,100,3,1,0.05818181818181818,1,0.0597979797979798,2,0.06142655081834714,1,0.06060606060606061,1,0.06383838383838383,1,0.05898989898989899
BA,100,5,1,0.10666666666666667,0,0.10383838383838384,0,0.10383838383838384,3,0.10107135637760259,1,0.10181818181818182,2,0.10264699939381693
BA,100,7,3,0.14149989892864362,8,0.13774888256806175,3,0.13664847382251868,0,0.13777777777777778,2,0.1426550818347141,3,0.13705275924802912
BA,150,3,1,0.047248322147651005,0,0.04348993288590604,1,0.04313199105145414,2,0.04313585108287095,0,0.046353467561521255,2,0.04420977268659388
BA,150,5,2,0.07839627707177375,0,0.07731543624161073,2,0.07696438160014318,0,0.07874720357941835,0,0.0792841163310962,2,0.07821729013781994
BA,150,7,1,0.10756152125279642,2,0.10882405584392339,6,0.1043010752688172,4,0.1035007610350076,1,0.10738255033557047,0,0.10845637583892617
BA,50,3,0,0.10122448979591837,4,0.0918785890073831,1,0.09959183673469388,1,0.0963265306122449,0,0.10285714285714286,1,0.0946938775510204
BA,50,5,0,0.16326530612244897,1,0.15346938775510205,3,0.15057283142389524,6,0.15206611570247933,14,0.1728395061728395,6,0.15206611570247933
BA,50,7,12,0.2070750647109577,0,0.18775510204081633,0,0.1926530612244898,1,0.19755102040816327,1,0.19918367346938776,1,0.1893877551020408
BA,100,3,2,0.061830672863204685,7,0.05761817812943802,1,0.0602020202020202,3,0.06064281382656155,10,0.06075433231396534,5,0.05991902834008097
BA,100,5,2,0.10062638916952919,1,0.10262626262626262,0,0.10141414141414141,2,0.10022226712467165,0,0.10383838383838384,0,0.10181818181818182
BA,100,7,1,0.1482828282828283,2,0.14184683774499898,2,0.13699737320670843,1,0.1414141414141414,2,0.14669630228328956,1,0.14222222222222222
BA,150,3,0,0.04456375838926174,2,0.04259889028100949,0,0.042237136465324385,2,0.04331483801682477,0,0.0447427293064877,6,0.04247311827956989
